298,70,bee,1
335,70,bee,1
298,102,bee,1
335,102,bee,1
261,130,butterfly,1
372,130,butterfly,1
261,162,butterfly,1
372,162,butterfly,1
261,38,boss,2
372,38,boss,2
224,38,boss,2
409,38,boss,2
224,130,butterfly,2
409,130,butterfly,2
224,162,butterfly,2
409,162,butterfly,2
187,130,butterfly,3
446,130,butterfly,3
187,162,butterfly,3
446,162,butterfly,3
150,130,butterfly,3
483,130,butterfly,3
150,162,butterfly,3
483,162,butterfly,3
261,70,bee,4
372,70,bee,4
261,102,bee,4
372,102,bee,4
224,70,bee,4
409,70,bee,4
224,102,bee,4
409,102,bee,4
187,70,bee,5
446,70,bee,5
187,102,bee,5
446,102,bee,5
150,70,bee,5
483,70,bee,5
150,102,bee,5
483,102,bee,5
