298, 130, bee, 1
335, 130, bee, 1
298, 162, bee, 1
335, 162, bee, 1
298, 70, butterfly, 1
335, 70, butterfly, 1
298, 102, butterfly, 1
335, 102, butterfly, 1
261, 70, butterfly, 2
372, 70, butterfly, 2
261, 102, butterfly, 2
372, 102, butterfly, 2
298, 38, boss, 2
335, 38, boss, 2
261, 38, boss, 2
372, 38, boss, 2
187, 70, butterfly, 3
224, 70, butterfly, 3
409, 70, butterfly, 3
446, 70, butterfly, 3
187, 102, butterfly, 3
224, 102, butterfly, 3
409, 102, butterfly, 3
446, 102, butterfly, 3
224, 130, bee, 4
261, 130, bee, 4
372, 130, bee, 4
409, 130, bee, 4
224, 162, bee, 4
261, 162, bee, 4
372, 162, bee, 4
409, 162, bee, 4
150, 130, bee, 5
187, 130, bee, 5
446, 130, bee, 5
483, 130, bee, 5
150, 162, bee, 5
187, 162, bee, 5
446, 162, bee, 5
483, 162, bee, 5
